Move,Id,A,S,Page,Title,Cue,Entrances,Exits,OnStage,Note1,Note2,Note3 
94,64.13,1,10,64,"Constable, Hodel ON",Constable enters,"Hodel (Katie Giannokopoulos), Constable (Jon Noble)",,"Hodel (Katie Giannokopoulos), Constable (Jon Noble)",,,
95,65.3,1,10,65,"Tevye ON, Hodel OFF","""You understand.""",Tevye (Patrick McCarty),Hodel (Katie Giannokopoulos),"Tevye (Patrick McCarty), Constable (Jon Noble)",,,
96,65.5,1,10,65,"Constable OFF, Golde ON",Constable's exit,Golde (Karin Harvey-Olsen),Constable (Jon Noble),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
97,65.7,1,10,65,"Tev, Golde OFF","""Clean up. Clean up.""",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,,
98,67.1,2, 1,67,Tevye ON,A2 Prologue lights up,Tevye (Patrick McCarty),,Tevye (Patrick McCarty),,,
99,67.2,2, 1,67,"Tevye OFF, Hodel, Perchik ON",Tevye's Exit,"Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",Tevye (Patrick McCarty),"Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",,,
100,70.11,2, 1,70,Tevye ON,Tevye's entrance,Tevye (Patrick McCarty),,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",,,
101,73.7,2, 1,73,"Perchik, Hodel OFF, Golde ON","""I can handle my own wife.""",Golde (Karin Harvey-Olsen),"Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)","Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
102,76.5,2, 2,76,"Golde, Tevye OFF","End of ""Do You Love Me""",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,,
103,76.6,2, 2,76,"Kerri, Yente, Tzeitel ON",A2 S2 Lights up,"Tzeitel (Lauren Busa), Yente (Lucy Spencer), Kerri (Kerri Goolsby)",,"Tzeitel (Lauren Busa), Yente (Lucy Spencer), Kerri (Kerri Goolsby)",,,
104,77.3,2, 2,77,"Kerri, Tzeitel OFF","""It happened to be open...""",,"Tzeitel (Lauren Busa), Kerri (Kerri Goolsby)",Yente (Lucy Spencer),,,
105,77.5,2, 2,77,"Yente OFF, Group 2 (TBD) ON","Yente: ""Yes!"" (lyric, Rumor)",,Yente (Lucy Spencer),,,,
106,78.3,2, 2,78,"Group 2 (TBD) OFF, Mendel ON","""In Kiev!"" (lyric, the Rumor)",Mendel (Gabe Garcia),,Mendel (Gabe Garcia),,,
